t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
0,-0.05158,-0.05364,0.0015,0.0106
0.01,-0.05161,-0.05378,-0.0006,0.005
0.02,-0.05164,-0.05365,0.0002,0.0235
0.03,-0.05167,-0.05361,-0.0012,0.0209
0.04,-0.0517,-0.05374,-0.0003,0.0098
0.05,-0.05173,-0.05374,0.0009,0.0095
0.06,-0.05175,-0.05367,-0.0006,0.0171
0.07,-0.05173,-0.05374,0.0011,0.009
0.08,-0.05167,-0.05373,-0.0018,0.0062
0.09,-0.05159,-0.05371,0.0014,0.0077
0.1,-0.05151,-0.05376,-0.0005,0.0047
0.11,-0.05143,-0.05373,-0.0009,0.0158
0.12,-0.05135,-0.05368,-0.0013,0.0015
0.13,-0.05126,-0.0537,0.0002,0.0179
0.14,-0.05111,-0.0537,0.0013,-0.0018
0.15,-0.05093,-0.05365,0.0004,0.0138
0.16,-0.05074,-0.05375,-0.0021,0.0183
0.17,-0.05055,-0.05358,0.0015,0.004
0.18,-0.05035,-0.05367,0.0003,0.0117
0.19,-0.05016,-0.05373,-0.0027,0.0197
0.2,-0.04994,-0.0537,0.0006,0.0051
0.21,-0.04971,-0.05373,-0.0001,0.0188
0.22,-0.04945,-0.05361,0.0012,0.0101
0.23,-0.04918,-0.05366,-0.0007,0.0075
0.24,-0.04892,-0.05364,0.0009,0.0272
0.25,-0.04866,-0.05376,0.0011,0.0075
0.26,-0.0484,-0.05369,0.0007,0.0113
0.27,-0.04813,-0.05357,-0.0002,0.03
0.28,-0.04784,-0.0537,0.0014,0.0192
0.29,-0.04755,-0.05369,0.0008,0.0357
0.3,-0.04726,-0.05369,0.0001,0.0271
0.31,-0.04697,-0.05374,0.001,0.0224
0.32,-0.04668,-0.05371,0.0011,0.0241
0.33,-0.04639,-0.05362,0.0021,0.0246
0.34,-0.0461,-0.05368,0.0012,0.0119
0.35,-0.04581,-0.05369,-0.0004,0.026
0.36,-0.04552,-0.05365,-0.0018,0.037
0.37,-0.04522,-0.05373,-0.0021,0.0263
0.38,-0.04493,-0.05363,0.0007,0.0375
0.39,-0.04464,-0.05378,0.0008,0.0214
0.4,-0.04434,-0.0537,0.0005,0.0234
0.41,-0.04405,-0.05367,-0.0023,0.0322
0.42,-0.04376,-0.05367,-0.0024,0.0182
0.43,-0.04347,-0.05374,-0.0006,0.0325
0.44,-0.04318,-0.05369,-0.0019,0.0298
0.45,-0.04289,-0.05371,0.0004,0.0305
0.46,-0.0426,-0.05365,-0.0008,0.0449
0.47,-0.04231,-0.05363,-0.002,0.0324
0.48,-0.04203,-0.05364,0.0007,0.0362
0.49,-0.04174,-0.05374,-0.0027,0.0327
0.5,-0.04146,-0.05366,0.0021,0.0307
0.51,-0.04117,-0.05364,0.0003,0.0356
0.52,-0.04089,-0.0536,0.0026,0.0373
0.53,-0.0406,-0.05367,0.0009,0.045
0.54,-0.04032,-0.05375,-0.0001,0.0471
0.55,-0.04004,-0.05362,-0.0018,0.044
0.56,-0.03977,-0.05383,-0.0011,0.0446
0.57,-0.03949,-0.05361,-0.0011,0.0503
0.58,-0.03921,-0.05366,-0.0004,0.0409
0.59,-0.03893,-0.05366,-0.0009,0.048
0.6,-0.03865,-0.05376,-0.0014,0.0458
0.61,-0.03838,-0.05372,0.0015,0.0547
0.62,-0.0381,-0.05378,0.0031,0.0447
0.63,-0.03783,-0.05372,-0.0009,0.0521
0.64,-0.03756,-0.05363,0.0009,0.0616
0.65,-0.03729,-0.05365,0.0015,0.0631
0.66,-0.03701,-0.05363,-0.001,0.0524
0.67,-0.03674,-0.05367,-0.0008,0.0565
0.68,-0.03647,-0.05368,-0.0002,0.0513
0.69,-0.03621,-0.05365,-0.0008,0.0663
0.7,-0.03594,-0.0538,-0.0015,0.054
0.71,-0.03567,-0.05366,0.0001,0.0682
0.72,-0.03541,-0.05376,0.0001,0.0673
0.73,-0.03514,-0.05371,-0.0008,0.065
0.74,-0.03488,-0.0537,-0.0015,0.0589
0.75,-0.03462,-0.0537,0.0006,0.0757
0.76,-0.03436,-0.05365,-0.0001,0.0665
0.77,-0.0341,-0.05373,0.0002,0.0716
0.78,-0.03384,-0.05365,0.0012,0.0724
0.79,-0.03358,-0.05358,0.0014,0.0797
0.8,-0.03331,-0.05368,0.0012,0.074
0.81,-0.03306,-0.05374,0.0009,0.0851
0.82,-0.03281,-0.05374,0.0003,0.0878
0.83,-0.03256,-0.0537,-0.003,0.0787
0.84,-0.03231,-0.05372,0.0009,0.071
0.85,-0.03205,-0.05362,-0.0002,0.0839
0.86,-0.0318,-0.0537,-0.0011,0.0713
0.87,-0.03155,-0.05376,-0.0019,0.0826
0.88,-0.03131,-0.05368,-0.0009,0.0824
0.89,-0.03106,-0.05371,-0.0012,0.0928
0.9,-0.03082,-0.05368,-0.0018,0.0943
0.91,-0.03057,-0.05366,0.0003,0.0888
0.92,-0.03033,-0.05365,0.0007,0.0848
0.93,-0.03008,-0.05367,0.0011,0.0822
0.94,-0.02984,-0.05371,0.0005,0.0791
0.95,-0.0296,-0.05367,0.0002,0.0926
0.96,-0.02936,-0.05365,0.0003,0.0993
0.97,-0.02912,-0.05374,-0.0008,0.0952
0.98,-0.02888,-0.05369,0.0004,0.099
0.99,-0.02864,-0.05373,0.0026,0.1064
1,-0.02841,-0.05367,0.0007,0.0967
1.01,-0.02817,-0.05371,0.0008,0.1203
1.02,-0.02794,-0.05369,-0.0003,0.0967
1.03,-0.02771,-0.05364,-0.0003,0.1146
1.04,-0.02748,-0.05368,-0.0007,0.1182
1.05,-0.02725,-0.05364,0,0.1079
1.06,-0.02701,-0.05377,0.001,0.1093
1.07,-0.02678,-0.0537,0.0009,0.1181
1.08,-0.02656,-0.0537,0.0005,0.1146
1.09,-0.02633,-0.05372,0.0025,0.1144
1.1,-0.02611,-0.05371,-0,0.1176
1.11,-0.02588,-0.05362,-0,0.1124
1.12,-0.02566,-0.05368,0.0006,0.1315
1.13,-0.02544,-0.05367,0.0006,0.132
1.14,-0.02522,-0.05374,0.0022,0.1359
1.15,-0.025,-0.05371,0.0014,0.1306
1.16,-0.02478,-0.05366,-0.0008,0.1419
1.17,-0.02456,-0.05374,0.0015,0.1324
1.18,-0.02435,-0.05368,0.0008,0.1227
1.19,-0.02413,-0.05357,-0.002,0.1401
1.2,-0.02391,-0.05361,0.0022,0.149
1.21,-0.0237,-0.05361,-0.0001,0.1437
1.22,-0.02349,-0.0537,-0.0011,0.1474
1.23,-0.02328,-0.05375,0.0002,0.136
1.24,-0.02308,-0.05364,-0.0012,0.1452
1.25,-0.02287,-0.0537,-0.0005,0.1431
1.26,-0.02266,-0.0537,0.0014,0.1447
1.27,-0.02245,-0.05361,0.0016,0.1499
1.28,-0.02225,-0.05373,0.0041,0.1464
1.29,-0.02205,-0.05363,0.002,0.1507
1.3,-0.02185,-0.05362,0.0048,0.14
1.31,-0.02165,-0.05357,0.0072,0.1501
1.32,-0.02145,-0.0535,0.0095,0.1599
1.33,-0.02126,-0.05333,0.0113,0.1627
1.34,-0.02107,-0.05318,0.0116,0.1589
1.35,-0.02088,-0.05316,0.0125,0.185
1.36,-0.0207,-0.05296,0.0148,0.1587
1.37,-0.02051,-0.05278,0.0165,0.1561
1.38,-0.02033,-0.05264,0.0174,0.1944
1.39,-0.02015,-0.05231,0.0205,0.1874
1.4,-0.01998,-0.05214,0.0195,0.1634
1.41,-0.01982,-0.05189,0.0232,0.1677
1.42,-0.01968,-0.05167,0.0234,0.1277
1.43,-0.01954,-0.05145,0.0234,0.1878
1.44,-0.0194,-0.05132,0.0276,0.1633
1.45,-0.01926,-0.05112,0.0327,0.1382
1.46,-0.01913,-0.05072,0.0339,0.1202
1.47,-0.01901,-0.05046,0.0387,0.1707
1.48,-0.01895,-0.05004,0.0438,0.169
1.49,-0.01889,-0.04977,0.0476,0.1762
1.5,-0.01883,-0.04944,0.0506,0.168
1.51,-0.01877,-0.04903,0.0532,0.1418
1.52,-0.01871,-0.04856,0.0637,0.142
1.53,-0.01867,-0.04809,0.0648,0.1565
1.54,-0.01864,-0.04755,0.0686,0.1342
1.55,-0.01866,-0.04716,0.0764,0.1549
1.56,-0.01867,-0.04665,0.0797,0.1657
1.57,-0.01868,-0.04584,0.0843,0.1563
1.58,-0.01869,-0.0452,0.0907,0.1232
1.59,-0.0208,-0.04442,0.0991,0.1621
1.6,-0.02429,-0.04333,0.105,0.1386
1.61,-0.02437,-0.04257,0.113,0.1322
1.62,-0.02446,-0.04073,0.1225,0.1608
1.63,-0.02454,-0.03924,0.1302,0.1406
1.64,-0.02462,-0.03711,0.133,0.1633
1.65,-0.02471,-0.03577,0.1353,0.1867
1.66,-0.02479,-0.03424,0.1288,0.0968
1.67,-0.02492,-0.03265,0.1293,0.1201
1.68,-0.02509,-0.03113,0.1258,0.0997
1.69,-0.02528,-0.02995,0.1228,0.0989
1.7,-0.02547,-0.02903,0.1222,0.1172
1.71,-0.02565,-0.02818,0.1239,0.1099
1.72,-0.02584,-0.02712,0.126,0.1064
1.73,-0.02603,-0.02619,0.1259,0.1101
1.74,-0.02625,-0.02529,0.1219,0.0884
1.75,-0.02649,-0.02447,0.1225,0.0598
1.76,-0.02672,-0.02338,0.1262,0.0814
1.77,-0.02696,-0.02231,0.1299,0.0724
1.78,-0.0272,-0.021,0.1325,0.0849
1.79,-0.02744,-0.01928,0.137,0.0746
1.8,-0.02768,-0.01806,0.14,0.1089
1.81,-0.02793,-0.01595,0.1408,0.1485
1.82,-0.02819,-0.01409,0.1322,0.0747
1.83,-0.02845,-0.01237,0.1277,0.0537
1.84,-0.02871,-0.01074,0.1228,0.0751
1.85,-0.02896,-0.00946,0.115,0.0551
1.86,-0.02922,-0.00843,0.1109,0.0427
1.87,-0.02948,-0.00749,0.1084,0.0568
1.88,-0.02975,-0.00672,0.1043,0.0549
1.89,-0.03001,-0.0059,0.0988,0.0371
1.9,-0.03028,-0.00523,0.0954,0.0552
1.91,-0.03054,-0.00463,0.0938,0.0413
1.92,-0.03081,-0.00407,0.0862,0.0476
1.93,-0.03107,-0.00338,0.0838,0.028
1.94,-0.03134,-0.00281,0.0787,0.019
1.95,-0.03161,-0.00219,0.0751,0.0189
1.96,-0.03188,-0.00175,0.0712,0.0258
1.97,-0.03215,-0.0009,0.0699,0.0215
1.98,-0.03241,-9e-05,0.0671,0.031
1.99,-0.03268,0.00063,0.0648,0.0399
2,-0.03295,0.0017,0.0609,0.0161
2.01,-0.03322,0.0038,0.0471,0.0078
2.02,-0.03349,0.00431,0.0411,0.0071
2.03,-0.03376,0.00486,0.0362,0.0197
2.04,-0.03402,0.00541,0.0307,0.0081
2.05,-0.03429,0.0056,0.027,-0.0013
2.06,-0.03456,0.00593,0.0224,0.0066
