t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
0,-0.05158,-0.04737,-0.0321,-0.1306
0.01,-0.05161,-0.04842,-0.0414,-0.0242
0.02,-0.05164,-0.04866,-0.0395,-0.0895
0.03,-0.05167,-0.04896,-0.0441,-0.0568
0.04,-0.0517,-0.04933,-0.0468,-0.0726
0.05,-0.05173,-0.04966,-0.0473,-0.1023
0.06,-0.05175,-0.05002,-0.0471,-0.0694
0.07,-0.05173,-0.05037,-0.0509,-0.0767
0.08,-0.05167,-0.05077,-0.0537,-0.0599
0.09,-0.05159,-0.05113,-0.0523,-0.0696
0.1,-0.05151,-0.05153,-0.0519,-0.0365
0.11,-0.05143,-0.0518,-0.0501,-0.0393
0.12,-0.05135,-0.05231,-0.0501,-0.029
0.13,-0.05126,-0.05273,-0.0451,-0.0291
0.14,-0.05111,-0.0531,-0.0457,-0.0301
0.15,-0.05093,-0.05341,-0.0447,-0.0316
0.16,-0.05074,-0.05398,-0.0409,-0.0363
0.17,-0.05055,-0.05419,-0.0351,-0.0214
0.18,-0.05035,-0.05462,-0.0316,-0.0238
0.19,-0.05016,-0.05487,-0.026,-0.014
0.2,-0.04994,-0.0552,-0.0216,-0.0234
0.21,-0.04971,-0.05527,-0.0154,-0.0094
0.22,-0.04945,-0.05546,-0.0106,-0.0155
0.23,-0.04918,-0.05563,-0.005,0.001
0.24,-0.04892,-0.05557,-0.0025,-0.0134
0.25,-0.04866,-0.05562,-0.0007,0.0068
0.26,-0.0484,-0.05564,0.0003,0.0147
0.27,-0.04813,-0.05555,-0.0017,0.0106
0.28,-0.04784,-0.05573,0.0001,0.0205
0.29,-0.04755,-0.05551,-0.0025,0.0319
0.3,-0.04726,-0.05563,0.0015,0.0375
0.31,-0.04697,-0.05557,0.0018,0.0384
0.32,-0.04668,-0.05559,0.002,0.0389
0.33,-0.04639,-0.05548,0.0011,0.0433
0.34,-0.0461,-0.05554,0.0009,0.0468
0.35,-0.04581,-0.0555,-0.0002,0.0494
0.36,-0.04552,-0.05546,0.002,0.0712
0.37,-0.04522,-0.05548,0.0019,0.0754
0.38,-0.04493,-0.0555,0.0011,0.0878
0.39,-0.04464,-0.05546,0.0025,0.082
0.4,-0.04434,-0.05548,0.0003,0.0906
0.41,-0.04405,-0.05545,0.0038,0.0958
0.42,-0.04376,-0.05537,0.0045,0.0993
0.43,-0.04347,-0.05526,0.0084,0.0886
0.44,-0.04318,-0.05526,0.0097,0.1103
0.45,-0.04289,-0.05516,0.0131,0.1102
0.46,-0.0426,-0.05493,0.0176,0.0842
0.47,-0.04231,-0.0547,0.0246,0.0979
0.48,-0.04203,-0.05453,0.0261,0.1086
0.49,-0.04174,-0.05416,0.0313,0.1328
0.5,-0.04146,-0.05381,0.0342,0.1176
0.51,-0.04117,-0.05342,0.039,0.1191
0.52,-0.04089,-0.05309,0.0411,0.1066
0.53,-0.0406,-0.05265,0.0465,0.0996
0.54,-0.04032,-0.0523,0.0516,0.1097
0.55,-0.04004,-0.05192,0.055,0.0895
0.56,-0.03977,-0.05131,0.059,0.1433
0.57,-0.03949,-0.05099,0.0632,0.1165
0.58,-0.03921,-0.05045,0.0692,0.0986
0.59,-0.03893,-0.04985,0.0738,0.1191
0.6,-0.03865,-0.04931,0.0778,0.0779
0.61,-0.03838,-0.04872,0.0795,0.1199
0.62,-0.0381,-0.04821,0.0835,0.1219
0.63,-0.03783,-0.04747,0.0903,0.0993
0.64,-0.03756,-0.04668,0.0945,0.0983
0.65,-0.03729,-0.04575,0.0954,0.1099
0.66,-0.03701,-0.04487,0.097,0.082
0.67,-0.03674,-0.04367,0.1013,0.0653
0.68,-0.03647,-0.04294,0.1015,0.0875
0.69,-0.03621,-0.04126,0.1032,0.0747
0.7,-0.03594,-0.04017,0.1007,0.0658
0.71,-0.03567,-0.03908,0.1017,0.075
0.72,-0.03541,-0.03761,0.0992,0.0604
0.73,-0.03514,-0.03691,0.1013,0.1081
0.74,-0.03488,-0.03547,0.0977,0.0619
0.75,-0.03462,-0.03445,0.0949,0.0618
0.76,-0.03436,-0.03336,0.0929,0.0256
0.77,-0.0341,-0.03242,0.0886,0.0318
0.78,-0.03384,-0.03176,0.0836,0.0358
0.79,-0.03358,-0.03114,0.0781,0.0349
0.8,-0.03331,-0.03037,0.0742,0.0536
0.81,-0.03306,-0.02987,0.0658,0.05
0.82,-0.03281,-0.02931,0.0624,0.0453
0.83,-0.03256,-0.02884,0.0596,0.0393
0.84,-0.03231,-0.0284,0.0582,0.0199
0.85,-0.03205,-0.02803,0.0523,0.0247
0.86,-0.0318,-0.02758,0.0462,0.0304
0.87,-0.03155,-0.0273,0.0448,0.0341
0.88,-0.03131,-0.02704,0.0418,0.0208
0.89,-0.03106,-0.02686,0.034,0.0309
0.9,-0.03082,-0.02663,0.0292,0.0335
0.91,-0.03057,-0.02635,0.026,0.0203
0.92,-0.03033,-0.0261,0.0202,0.0415
0.93,-0.03008,-0.026,0.019,0.0204
0.94,-0.02984,-0.02591,0.0169,0.0298
0.95,-0.0296,-0.02587,0.0104,0.0298
0.96,-0.02936,-0.02568,0.0043,0.0365
0.97,-0.02912,-0.02565,0.0002,0.037
0.98,-0.02888,-0.02573,0.0009,0.0381
0.99,-0.02864,-0.02579,-0.001,0.0366
1,-0.02841,-0.02562,-0.0041,0.0229
1.01,-0.02817,-0.02573,-0.0013,0.0358
1.02,-0.02794,-0.02573,-0.0013,0.0324
1.03,-0.02771,-0.02564,0.0006,0.0351
1.04,-0.02748,-0.0257,0.0003,0.0263
1.05,-0.02725,-0.02564,-0,0.0436
1.06,-0.02701,-0.02568,0.0004,0.05
1.07,-0.02678,-0.02559,0.0009,0.0463
1.08,-0.02656,-0.02569,0.0002,0.0462
1.09,-0.02633,-0.0257,0.0007,0.0545
1.1,-0.02611,-0.02574,0.0005,0.0533
1.11,-0.02588,-0.02566,0.0029,0.0447
1.12,-0.02566,-0.02565,0.0001,0.0564
1.13,-0.02544,-0.02559,-0.0001,0.0492
1.14,-0.02522,-0.02574,0.0011,0.0502
1.15,-0.025,-0.02568,0.0001,0.0653
1.16,-0.02478,-0.02578,0.0012,0.0693
1.17,-0.02456,-0.02569,-0.0017,0.059
1.18,-0.02435,-0.0258,-0.0011,0.0608
1.19,-0.02413,-0.0256,0.0024,0.0666
1.2,-0.02391,-0.02568,0.0005,0.0788
1.21,-0.0237,-0.02569,0.0009,0.0724
1.22,-0.02349,-0.02569,0.0014,0.0646
1.23,-0.02328,-0.02569,0.0021,0.0794
1.24,-0.02308,-0.02566,-0.0017,0.069
1.25,-0.02287,-0.02571,0.0004,0.0839
1.26,-0.02266,-0.02566,0.0026,0.0786
1.27,-0.02245,-0.02558,0.0018,0.0988
1.28,-0.02225,-0.02565,0.0024,0.0888
1.29,-0.02205,-0.02566,0.0055,0.0795
1.3,-0.02185,-0.02557,0.0004,0.0975
1.31,-0.02165,-0.02559,0.0044,0.0833
1.32,-0.02145,-0.02562,0.005,0.0944
1.33,-0.02126,-0.02555,0.0056,0.09
1.34,-0.02107,-0.02542,0.0084,0.0896
1.35,-0.02088,-0.02533,0.0093,0.117
1.36,-0.0207,-0.0253,0.0116,0.0975
1.37,-0.02051,-0.02513,0.0151,0.0938
1.38,-0.02033,-0.02479,0.0189,0.0972
1.39,-0.02015,-0.02462,0.0203,0.0916
1.4,-0.01998,-0.02444,0.0217,0.1046
1.41,-0.01982,-0.02421,0.024,0.0796
1.42,-0.01968,-0.02387,0.03,0.1124
1.43,-0.01954,-0.02366,0.0307,0.0735
1.44,-0.0194,-0.02332,0.0323,0.0718
1.45,-0.01926,-0.023,0.0328,0.0828
1.46,-0.01913,-0.02264,0.034,0.0707
1.47,-0.01901,-0.02221,0.0343,0.0792
1.48,-0.01895,-0.02199,0.0353,0.076
1.49,-0.01889,-0.02151,0.038,0.0644
1.5,-0.01883,-0.02118,0.0356,0.0918
1.51,-0.01877,-0.02068,0.04,0.0865
1.52,-0.01871,-0.02027,0.0396,0.0696
1.53,-0.01867,-0.01989,0.0401,0.0623
1.54,-0.01864,-0.01934,0.0388,0.0765
1.55,-0.01866,-0.019,0.0392,0.0635
1.56,-0.01867,-0.01845,0.0404,0.0573
1.57,-0.01868,-0.01798,0.0372,0.0555
1.58,-0.01869,-0.01747,0.0369,0.0195
1.59,-0.0208,-0.01701,0.0304,-0.0079
1.6,-0.02429,-0.01656,0.0263,-0.0276
1.61,-0.02437,-0.01654,0.0077,-0.0297
1.62,-0.02446,-0.01632,0.0029,-0.0191
1.63,-0.02454,-0.01646,0.0019,-0.0086
1.64,-0.02462,-0.0164,-0.0014,-0.0017
1.65,-0.02471,-0.01634,0.0012,-0.0157
1.66,-0.02479,-0.01635,-0.0009,-0.0096
1.67,-0.02492,-0.01635,-0.0005,-0.0155
1.68,-0.02509,-0.01636,0.0004,-0.0065
1.69,-0.02528,-0.01641,0.0014,-0.0183
